company_name,www,krs_number
GP Solutions,https://www.software.travel
Symphony Solutions,https://symphony-solutions.com
Frontkom,https://frontkom.com
nexocode,https://nexocode.com
TH-EY,https://th-ey.com
Webini,https://webini.co
Future Mind,https://www.futuremind.com
AMC TECH,https://amctech.pl
Vazco,https://www.vazco.eu
LeanCode,https://leancode.co
Evojam,https://evojam.com
Zaven,https://zaven.co
Exaco,https://exaco.pl
Code & Pepper,https://codeandpepper.com
DevBrother,https://devbrother.com
SolveIt,https://solveit.dev
Mits,https://mits.pl/en/
FINGO Software House,https://www.fingo.pl
RTE,https://rte.global
Yameo,http://www.yameo.eu
NubiSoft,https://nubisoft.io
Svitla Systems,https://svitla.com
Freeport Metrics,https://www.freeportmetrics.com
SPEEDNET,https://speednet.pl
TEONITE,https://teonite.com
Makimo,https://makimo.pl
G-Group.dev,https://www.g-group.dev
mDevelopers,https://mdevelopers.com,0000364079
B-MIND Software House,https://b-mind.co
N7 Mobile,https://n7mobile.com/pl
Ulam Labs,https://www.ulam.io
bPol (Primotly),https://bpol.net
ICEO - Venture Builder,https://iceo.co/pl
Devox Software,https://devoxsoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Clurgo,https://clurgo.com/pl/
Agiliway,https://agiliway.com
ITechArt Group,https://www.itechart.com
DICEUS,https://diceus.com
Itexus,https://itexus.com
Uptech,https://www.uptech.team
N-iX,https://www.n-ix.com/team-extension/
eTeam,https://www.eteam.io
Adexin,https://adexin.com
CSHARK,https://cshark.com
